id	platform	title	year	type	stage	use	url	checked_at
S01	Google/YouTube	Deep Neural Networks for YouTube Recommendations	2016	industrial paper	retrieval;ranking	two-stage funnel and watch-time ranking	https://research.google.com/pubs/archive/45530.pdf	2026-05-27
S02	Google Play	Wide & Deep Learning for Recommender Systems	2016	industrial paper	ranking	production ranking and serving latency	https://arxiv.org/abs/1606.07792	2026-05-27
S03	Google/YouTube	Recommending What Video to Watch Next: A Multitask Ranking System	2019	official publication	ranking	multi-objective ranking and bias handling	https://research.google/pubs/recommending-what-video-to-watch-next-a-multitask-ranking-system/	2026-05-27
S04	Meta/Instagram	Scaling the Instagram Explore recommendations system	2023	official engineering page	retrieval;pre-ranking;ranking;reranking	explicit four-stage production funnel	https://engineering.fb.com/2023/08/09/ml-applications/scaling-instagram-explore-recommendations-system/	2026-05-27
S05	Meta Ads	Meta's Generative Ads Model (GEM)	2025	official engineering page	ranking;distillation	foundation model transfer into latency-sensitive downstream models	https://engineering.fb.com/2025/11/10/ml-applications/metas-generative-ads-model-gem-the-central-brain-accelerating-ads-recommendation-ai-innovation/	2026-05-27
S06	Pinterest	PinSage: Graph Convolutional Neural Networks for Web-Scale Recommender Systems	2018	industrial paper	retrieval	graph candidate generation and deployment	https://arxiv.org/abs/1806.01973	2026-05-27
S07	Pinterest	PinnerSage: Multi-Modal User Embedding Framework for Recommendations	2020	industrial paper	retrieval;ranking	multi-interest user embeddings and production trade-offs	https://arxiv.org/abs/2007.03634	2026-05-27
S08	Pinterest	TransAct: Transformer-based Realtime User Action Model for Recommendation	2023	industrial paper	ranking	realtime sequence ranking deployment	https://arxiv.org/abs/2306.00248	2026-05-27
S09	Pinterest	PinRec: Outcome-Conditioned, Multi-Token Generative Retrieval	2025	preprint	retrieval	generative retrieval at industrial scale	https://arxiv.org/abs/2504.10507	2026-05-27
S10	LinkedIn	Community-focused Feed optimization	2020	official engineering page	pre-ranking;ranking	two-pass feed and stage-consistency measurement	https://www.linkedin.com/blog/engineering/feed/community-focused-feed-optimization	2026-05-27
S11	LinkedIn	Large Scale Retrieval for the LinkedIn Feed Using Causal Language Models	2026	conference paper	retrieval	LLM dual-encoder retrieval	https://ojs.aaai.org/index.php/AAAI/article/view/41445	2026-05-27
S12	LinkedIn	Engineering the next generation of LinkedIn's Feed	2026	official engineering page	retrieval;ranking	new retrieval and generative ranking production narrative	https://www.linkedin.com/blog/engineering/feed/engineering-the-next-generation-of-linkedins-feed	2026-05-27
S13	Amazon	Semantic product search	2019	industrial paper	retrieval;ranking	behavior-trained semantic product matching	https://www.amazon.science/publications/semantic-product-search	2026-05-27
S14	Amazon	The history of Amazon's recommendation algorithm	2019	official science page	retrieval	item-to-item recommendation history	https://www.amazon.science/the-history-of-amazons-recommendation-algorithm	2026-05-27
S15	Airbnb	Real-time Personalization using Embeddings for Search Ranking at Airbnb	2018	industrial paper	ranking;recommendation	two-sided marketplace personalization	https://www.kdd.org/kdd2018/accepted-papers/view/real-time-personalization-using-embeddings-for-search-ranking-at-airbnb	2026-05-27
S16	Airbnb	Improving Deep Learning For Airbnb Search	2020	industrial paper	ranking	position bias and cold start lessons	https://www.kdd.org/kdd2020/accepted-papers/view/improving-deep-learning-for-airbnb-search.html	2026-05-27
S17	Airbnb	Managing Diversity in Airbnb Search	2020	industrial paper	reranking	listwise diversity in search	https://www.kdd.org/kdd2020/accepted-papers/view/managing-diversity-in-airbnb-search.html	2026-05-27
S18	Airbnb	Embedding-Based Retrieval for Airbnb Search	2026	official engineering page	retrieval	ANN selection under availability updates and filters	https://airbnb.tech/ai-ml/embedding-based-retrieval-for-airbnb-search/	2026-05-27
S19	Netflix	How Netflix's Recommendations System Works	n.d.	official help page	ranking;layout	product-level ranking disclosure boundary	https://help.netflix.com/en/node/100639	2026-05-27
S20	Alibaba	DIN: Deep Interest Network for Click-Through Rate Prediction	2018	industrial paper	ranking	candidate-aware attention in ads ranking	https://arxiv.org/abs/1706.06978	2026-05-27
S21	Alibaba	DIEN: Deep Interest Evolution Network for CTR Prediction	2019	industrial paper	ranking	evolving interest and serving acceleration	https://arxiv.org/abs/1809.03672	2026-05-27
S22	Alibaba/Tmall	MIND: Multi-Interest Network with Dynamic Routing	2019	industrial paper	retrieval	multi-interest matching at Tmall	https://arxiv.org/abs/1904.08030	2026-05-27
S23	Alibaba	SIM: Search-based User Interest Modeling	2020	industrial paper	ranking	long-behavior sequence modeling	https://arxiv.org/abs/2006.05639	2026-05-27
