id	platform	title	year	source_type	evidence_use	url	checked_at
S01	Alibaba/Taobao	A Generative Re-ranking Model for List-level Multi-objective Optimization at Taobao	2025	industrial_paper	SORT-Gen list-level reranking and reported online results	https://arxiv.org/abs/2505.07197	2026-05-27
S02	Alibaba/Taobao	AIGQ: An End-to-End Hybrid Generative Architecture for E-commerce Query Recommendation	2026	preprint	AIGQ hybrid online/offline HintQ generation claim	https://arxiv.org/abs/2603.19710	2026-05-27
S03	Alibaba/Taobao	KARMA: Knowledge-Action Regularized Multimodal Alignment for Personalized Search at Taobao	2026	preprint_or_accepted_paper	Multimodal alignment and reported GMV lift	https://arxiv.org/abs/2603.22779	2026-05-27
S04	Alibaba/Taobao	Large Language Model based Long-tail Query Rewriting in Taobao Search	2023	industrial_paper	Long-tail rewrite alignment with online objectives	https://arxiv.org/abs/2311.03758	2026-05-27
S05	JD.com	The Design and Implementation of a Real Time Visual Search System on JD E-commerce Platform	2019	industrial_paper	Real-time image retrieval system scale and indexing	https://arxiv.org/abs/1908.07389	2026-05-27
S06	JD.com	JDsearch: A Personalized Product Search Dataset with Real Queries and Full Interactions	2023	industrial_paper	Real-query personalized search dataset	https://arxiv.org/abs/2305.14810	2026-05-27
S07	JD.com	Relevance Matters: A Multi-Task and Multi-Stage Large Language Model Approach for E-commerce Query Rewriting	2026	preprint	LLM rewriting with SFT and normalized GRPO; deployment statement	https://arxiv.org/abs/2603.02555	2026-05-27
S08	ByteDance/Douyin	Adaptive Domain Scaling for Personalized Sequential Modeling in Recommenders	2025	industrial_paper	Douyin E-commerce online experiment and deployment statement	https://arxiv.org/abs/2502.05523	2026-05-27
S09	ByteDance/Douyin	RankMixer: Scaling Up Ranking Models in Industrial Recommenders	2025	preprint	Large ranking model serving constraints and Douyin deployment	https://arxiv.org/abs/2507.15551	2026-05-27
S10	ByteDance SearchAds	SUMMA: A Multimodal Large Language Model for Advertisement Summarization	2025	industrial_paper	Adjacent search-ad multimodal summarization evidence	https://arxiv.org/abs/2508.20582	2026-05-27
S11	ByteDance	Monolith: Real Time Recommendation System With Collisionless Embedding Table	2022	industrial_paper	Realtime training and sparse feature infrastructure	https://arxiv.org/abs/2209.07663	2026-05-27
S12	Amazon	The technology behind Amazon's GenAI-powered shopping assistant, Rufus	2024	official_engineering_blog	Custom shopping LLM, RAG, feedback learning and serving	https://www.amazon.science/blog/the-technology-behind-amazons-genai-powered-shopping-assistant-rufus	2026-05-27
S13	Amazon	Web-scale Semantic Product Search with Large Language Models	2023	industrial_paper	Distilled semantic matching model and online test	https://www.amazon.science/publications/web-scale-semantic-product-search-with-large-language-models	2026-05-27
S14	Amazon	Multimodal Learning with Online Text Cleaning for E-commerce Product Search	2025	industrial_paper	Image/text product-search training	https://www.amazon.science/publications/multimodal-learning-with-online-text-cleaning-for-e-commerce-product-search	2026-05-27
S15	Amazon	GENIUS: A Generative Framework for Universal Multimodal Search	2025	industrial_paper	Generative multimodal retrieval research, not commerce deployment proof	https://www.amazon.science/publications/genius-a-generative-framework-for-universal-multimodal-search	2026-05-27
S16	Shopee	LightSAGE: Graph Neural Networks for Large Scale Item Retrieval in Shopee's Advertisement Recommendation	2023	industrial_paper	Deployed advertising item retrieval baseline	https://arxiv.org/abs/2310.19394	2026-05-27
S17	Shopee	COMPASS: Large Multilingual Language Model for South-East Asia	2024	technical_report	Domain LLM training and alignment foundation	https://arxiv.org/abs/2404.09220	2026-05-27
S18	Shopee	Compass-v3: Scaling Domain-Specific LLMs for Multilingual and Multimodal E-Commerce	2025	technical_report	E-commerce domain SFT/preference alignment claim	https://arxiv.org/abs/2509.09121	2026-05-27
S19	Shopee	EcomEval: Towards Reliable Evaluation of Large Language Models for Multilingual and Multimodal E-Commerce Applications	2025	technical_report	Multilingual/multimodal evaluation design	https://arxiv.org/abs/2510.20632	2026-05-27
S20	Shopee	RGAlign-Rec: Ranking-Guided Alignment for Latent Query Reasoning in Recommendation Systems	2026	preprint	Chatbot proactive recommendation and reported online test	https://arxiv.org/abs/2602.12968	2026-05-27
S21	PDD Holdings	PDD Holdings 2025 Form 20-F	2026	official_filing	Technology and recommender-system disclosure boundary	https://investor.pddholdings.com/static-files/e15edea4-5e6d-4740-808a-63a3dd1b2ce4	2026-05-27
S22	SHEIN	SHEIN's Marketplace User Ranking Policy	2025	official_policy	Declared ranking and personalization factors	https://roe.shein.com/ranking-policy-a-1979.html	2026-05-27
S23	SHEIN	Commission launches investigation into Shein under the Digital Services Act	2026	regulator_release	Recommender transparency governance boundary	https://digital-strategy.ec.europa.eu/en/news/commission-launches-investigation-shein-under-digital-services-act	2026-05-27
S24	Method	Recommender Systems with Generative Retrieval (TIGER)	2023	research_paper	Semantic IDs and generative retrieval foundation	https://arxiv.org/abs/2305.05065	2026-05-27
S25	Method	Actions Speak Louder than Words: Trillion-Parameter Sequential Transducers for Generative Recommendations	2024	research_paper	Generative recommendation scaling and HSTU	https://arxiv.org/abs/2402.17152	2026-05-27
S26	Method	Direct Preference Optimization: Your Language Model Is Secretly a Reward Model	2023	research_paper	Preference optimization foundation	https://arxiv.org/abs/2305.18290	2026-05-27
S27	Method	DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models	2024	research_paper	GRPO algorithm foundation	https://arxiv.org/abs/2402.03300	2026-05-27
