id	tier	layer	paper	arxiv	venue_status	core_idea	reported_gain	modality	why_read
P01	精读	电商图搜	MOON3.0: Reasoning-aware Multimodal Representation Learning for E-commerce Product Understanding	2604.00513	arXiv preprint	先从商品图文生成结构化属性，再经 <emb>、多头融合与 FIRE 得到 256 维向量	MBE3.0 Image->MM R@10 50.41->56.39；Text->MM 35.33->48.10；分类 67.27->86.40；属性 36.36->49.92	图/文/图文 <-> 图文商品	最贴近电商商品统一表征+推理召回
P02	精读	电商图搜	TIGER-FG: Text-Guided Implicit Fine-Grained Grounding for E-commerce Retrieval	2605.18434	arXiv preprint	文本引导隐式目标定位，空间一致性与相似度结构双重蒸馏	Recall@1 相对最强基线 +6.1pp（标准）/+34.4pp（复杂背景）；Query 85.7M、256 维	裁剪图 Query -> 完整商品图+文本	拍照图/子图/复杂背景/多商品干扰最直接
P03	工业	电商图搜	Pailitao-VL: Unified Embedding and Reranker for Real-Time Multi-Modal Industrial Search	2602.13704	arXiv technical report	Absolute ID Recognition 原型 embedding + compare-and-calibrate listwise reranker	部分 AI 搜索场景约 20% GMV（作者 A/B）；embedding~67ms、reranker~76ms	多模态召回、同款/近同款、高精度重排	完整召回+重排+线上A/B+实时部署工业方案
P04	演进	电商图搜	MOON / MOON2.0 (+ MOON Embedding report)	2511.11305 (Embedding report)	series + technical report	生成式 MLLM 商品表征->模态不平衡/噪声修复；系列部署搜索广告	MOON Embedding 报告整体 CTR 预测累计约 +20%（系列系统收益，不可单独归因 MOON3.0）	商品多图+标题/属性	理解从生成式到推理式商品表征的演进
P05	抗噪	电商图搜	Text-Guided Visual Representation Learning (TGQ-Former)	2605.17366	arXiv preprint	标题/类目/元数据引导视觉 token；双路 query + 可靠性双门控	全库检索平均 Hit Rate@100 +6.04%	商品图+标题/类目/属性 -> I2I/多模态召回	商详海报、促销角标、主体不突出噪声
P06	系统	电商图搜	REVISION: Reflective Intent Mining and Online Reasoning Auxiliary	2510.22739	WSDM 2026 Full Paper	离线隐式意图挖掘 + 线上轻量推理调度策略	提高意图挖掘效率并显著降低无点击率（摘要未给统一百分比）	Query 图+历史商品+行为	场景识别、兜底通道、策略路由、无点击闭环
P07	基线	通用RTE	Think Then Embed: Generative Context Improves Multimodal Embedding	2510.05014	arXiv preprint	Reasoner 生成 Embedding-Centric Reasoning，Embedder 再编码	MMEB-V2 当时领先；复杂约束与组合意图受益	图/文/视频/视觉文档/图文组合	MOON3.0 外标准 Reasoner->Embedder baseline
P08	双通道	通用RTE	UME-R1: Exploring Reasoning-Driven Generative Multimodal Embeddings	2511.00405	arXiv preprint	同一模型输出 discriminative 与 generative embedding；SFT+RL+多样本	相对 DUME 图/视频/视觉文档 +4.1/+9.0/+11.1；相对 VLM2Vec-V2 +2.1	图/视频/视觉文档/图文	直接向量+推理向量双通道与 inference sampling
P09	RL	通用RTE	Embed-RL: Reinforcement Learning for Reasoning-Driven Multimodal Embeddings	2602.13823	arXiv preprint	Embedder-Guided RL；T-CoT 指向检索证据	MMEB-V2 与 UVRB 超过早期 reasoning embedding；细粒度与跨模态一致	图/图文 Query -> 多模态候选	商品属性 reasoning 服务正负区分
P10	难负	通用RTE	MMEmb-R1: Reasoning-Enhanced Multimodal Embedding with Pair-Aware Selection	2604.06156	arXiv preprint	pair-aware selection，只在改善正负间隔时用 reasoning	准确率提升同时相对 UME-R1 约 2.5x 推理延迟改善	通用多模态检索	难负样本训练，避免空转 CoT
P11	生产	通用RTE	Think When Needed: Adaptive Reasoning-Driven Multimodal Embeddings	2605.14448	arXiv preprint	Reasoning/Embedding 双 LoRA + Routing Gate	MMEB-V2 78 任务领先；+3%-5% 参数；最多 -50% reasoning token	通用多模态召回	干净样本直出、难 Query 才推理
P12	CIR	CIR	CIR-CoT: Interpretable Composed Image Retrieval via End-to-End CoT	2510.08003	arXiv preprint	Caption->Reasoning->Conclusion->专用 embedding	FashionIQ/CIRR 竞争力结果；CIRCO 零样本泛化较强	参考图+修改文本 -> 目标图	改颜色/去图案等组合意图
P13	SOTA	CIR	MCoT-MVS: Multi-level Vision Selection by Multi-modal CoT	2603.17360	arXiv preprint	保留/删除/新增线索驱动 patch 与 instance 视觉选择	CIRR/FashionIQ 新 SOTA；公开代码与模型	参考图+修改描述 -> 目标商品图	reasoning 反向控制视觉区域
P14	加速	低延迟	TTE-Flash: Accelerating via Think-Then-Embed Tokens	2605.16638	arXiv preprint	latent think tokens 替代长文本 CoT	TTE-Flash-2B 超过显式 CoT 对照；latent token 可解释	图/文/视频/视觉文档	高 QPS 固定 token 一次前向
P15	蒸馏	低延迟	LaME: Learning to Think in Latent Space for Multimodal Embedding	2606.13061	arXiv preprint	固定 learnable reason tokens 作信息瓶颈	单次 forward、固定预算、降低对教师 CoT 依赖	通用多模态 embedding	MOON3.0 能力蒸馏到低延迟 Query Tower
