metric,2025_q1_rmb_m,2026_q1_rmb_m,yoy_pct,2025_margin_pct,2026_margin_pct,margin_delta_ppt,notes
Revenue,95672,106229,11.0,100.0,100.0,0.0,Total revenue
Online marketing services and others,48722,49936,2.5,50.9,47.0,-3.9,Domestic monetization pressure proxy; PDD does not split Pinduoduo and Temu
Transaction services,46950,56293,19.9,49.1,53.0,3.9,Includes transaction-related services; likely benefits from global and transaction activity
Cost of revenues,40946,46893,14.5,42.8,44.1,1.3,Higher fulfillment fees bandwidth/server costs and payment processing
Gross profit,54726,59336,8.4,57.2,55.9,-1.3,Revenue less cost of revenues
Sales and marketing expenses,33403,33773,1.1,34.9,31.8,-3.1,GAAP
General and administrative expenses,1659,1579,-4.8,1.7,1.5,-0.2,GAAP
Research and development expenses,3578,4418,23.5,3.7,4.2,0.4,GAAP
Total operating expenses,38640,39770,2.9,40.4,37.4,-3.0,GAAP
Operating profit,16086,19566,21.6,16.8,18.4,1.6,GAAP operating profit increased despite net income decline
Non-GAAP operating profit,18260,21090,15.5,19.1,19.9,0.8,Excludes share-based compensation
Interest and investment income/(loss),223,-632,-383.4,0.2,-0.6,-0.8,Non-operating swing
Foreign exchange loss,-242,-145,-40.1,-0.3,-0.1,0.1,Loss narrowed
Other income/(loss),3261,-2031,-162.3,3.4,-1.9,-5.3,Main non-operating swing
Profit before tax and equity investees,19328,16758,-13.3,20.2,15.8,-4.5,Operating improvement overwhelmed by non-operating swing
Income tax expenses,-4481,-4115,-8.2,-4.7,-3.9,0.8,Tax expense lower YoY
Net income attributable to ordinary shareholders,14742,12547,-14.9,15.4,11.8,-3.6,GAAP net income
Non-GAAP net income attributable to ordinary shareholders,16916,14071,-16.8,17.7,13.2,-4.4,Excludes share-based compensation
Operating cash flow,15517,16445,6.0,16.2,15.5,-0.7,Net cash generated from operating activities
Cash and short-term investments,,436071,,,,,As of 2026-03-31; RMB million
Cash restricted cash short-term investments and other non-current financial assets,,607463,,,,,Includes other non-current assets described as time deposits HTM debt securities and AFS debt securities
Total liabilities,,214277,,,,,As of 2026-03-31
Financial buffer less total liabilities,,393186,,,,,Cash + restricted cash + short-term investments + other non-current assets - total liabilities
