method	stage	model_surface	training_signal	best_fit	main_risk	evidence_ids
Instruction contrastive tuning	post_training	dense_embedding	query-item pairs; in-batch negatives; task instructions	Domain multimodal recall where labels are pairwise or triplet	False negatives and text shortcuts can dominate visual semantics	S01,S02,S03,S04
Hard-negative curriculum	post_training	dense_embedding	mined negatives; reranker-selected confusers; iterative refresh	Improving top-k discrimination after baseline recall exists	Stale index and leakage can inflate offline recall	S01,S03,S04
Reranker distillation	post_training	dense_embedding_and_reranker	cross-encoder scores; teacher ranking; softened labels	Compressing expensive cross-attention decisions into recall vectors	Teacher bias and overfitting to benchmark negatives	S03,S04
Late interaction training	post_training	multi_vector_embedding	token/page patch vectors; max-sim or late interaction loss	Visually rich document retrieval and page image search	Storage, latency and serving complexity increase sharply	S05
Reasoning trace SFT	post_training	generative_reranker_or_reasoner	rationales; query understanding traces; ordered evidence traces	When query intent requires visual or document reasoning	Trace quality can improve explanation while not improving ranking	S06,S07
Listwise supervised rerank	post_training	cross_encoder_reranker	ordered lists; pairwise/listwise preference; compare-and-calibrate	Commerce search, recommendation rerank and top-k precision	List context is expensive and sensitive to candidate distribution	S06,S08
RL with ranking reward	post_training	reranker_or_policy_model	NDCG/Recall/MRR rewards; QA answerability; reasoning format rewards	Reranker, query reformulator and retrieval-agent control	High variance, reward hacking and simulator mismatch	S06,S08
OPD pre-alignment	post_training	token_generating_vlm_or_reranker	student rollouts; teacher token feedback; reverse-KL style losses	Bridging SFT and RL for multimodal reasoning or generative rerank	Pure vector encoders lack token trajectories, so OPD is indirect	S13,S14,S15,S16
Data cleaning and modality pruning	pre_training_and_post_training	embedding_and_ranker	token pruning; OCR cleanup; modality reliability routing	E-commerce product search and noisy catalogue retrieval	Over-pruning can remove rare but decisive attributes	S12
Closed-model API embedding	production_adaptation	hosted_embedding_model	model-specific input packaging; calibration; evaluation	Teams prioritizing speed and coverage over controllable training	Limited training transparency and changing API behavior	S09,S10,S17,S18
