source_id	paper_id	url	supports_claims	evidence_level	notes
S01	P01	https://arxiv.org/abs/2604.00513	结构化属性推理；MBE3.0 R@10 与分类/属性准确率	A	作者报告离线数字
S02	P02	https://arxiv.org/abs/2605.18434	隐式 grounding；R@1 +6.1/+34.4pp；85.7M；256 维	A	作者报告离线数字
S03	P03	https://arxiv.org/abs/2602.13704	ID 原型 embedding；listwise reranker；GMV；67/76ms	A	线上 A/B 为作者报告
S04	P04	https://arxiv.org/abs/2511.11305	MOON Embedding 搜索广告部署与 CTR 约 +20%	A	系列累计收益，不可单独归因 MOON3.0
S05	P04	MOON / MOON2.0 series	生成式表征、模态不平衡、噪声与 many-to-one 对齐演进	B	演进描述据读单整理；连读 MOON3.0
S06	P05	https://arxiv.org/abs/2605.17366	TGQ-Former；H@100 +6.04%	A	作者报告全库检索
S07	P06	https://arxiv.org/abs/2510.22739	意图挖掘；无点击优化；WSDM 2026	A	摘要未披露统一百分比
S08	P07	https://arxiv.org/abs/2510.05014	Reasoner->Embedder；MMEB-V2	A	通用方法可迁移
S09	P08	https://arxiv.org/abs/2511.00405	双 embedding 通道；SFT+RL；相对 DUME/VLM2Vec-V2 增益	A	作者报告
S10	P09	https://arxiv.org/abs/2602.13823	Embedder-Guided RL；T-CoT；MMEB-V2/UVRB	A	作者报告
S11	P10	https://arxiv.org/abs/2604.06156	pair-aware selection；约 2.5x 延迟改善	A	作者报告
S12	P11	https://arxiv.org/abs/2605.14448	Routing Gate；3%-5% 参数；-50% reasoning token	A	作者报告
S13	P12	https://arxiv.org/abs/2510.08003	CIR CoT 管线；FashionIQ/CIRR/CIRCO	A	作者报告
S14	P13	https://arxiv.org/abs/2603.17360	多级视觉选择；CIRR/FashionIQ SOTA	A	作者报告；公开代码模型
S15	P14	https://arxiv.org/abs/2605.16638	latent think tokens；超过显式 CoT 对照	A	作者报告
S16	P15	https://arxiv.org/abs/2606.13061	latent reason tokens；固定预算	A	作者报告
