id	title	date	url	type	used_for
S01	Bloomberg: ByteDance Profit Jumps 60%, Taking It Past Archrival Tencent	2024-04-10	https://www.bloomberg.com/news/articles/2024-04-10/bytedance-profit-jumps-60-taking-it-past-archrival-tencent	credible_media	FY2022 and FY2023 revenue and EBITDA
S02	Reuters / The Information: ByteDance revenue from international operations rose 63% to $39 billion in 2024	2025-04-10	https://www.tradingview.com/news/reuters.com%2C2025%3Anewsml_FWN3QO1S1%3A0-bytedance-s-revenue-from-international-operations-rose-63-to-39-billion-in-2024-the-information/	credible_media	FY2024 revenue and net profit
S03	Reuters: ByteDance sets valuation above $330 billion for new share buyback	2025-08-27	https://www.investing.com/news/stock-market-news/exclusivetiktok-owner-bytedance-sets-valuation-at-over-330-billion-as-revenue-grows-sources-say-4212987	credible_media	Q2 2025 revenue and August 2025 employee buyback
S04	Bloomberg: TikTok Owner ByteDance on Track for $50 Billion Profit in 2025	2025-12-19	https://www.bloomberg.com/news/articles/2025-12-19/tiktok-owner-bytedance-on-track-for-50-billion-profit-in-2025	credible_media	FY2025 profit outlook and nine-month income
S05	财新: 字节跳动2025年国内营收同比增20% 投入AI致净利润下滑七成	2026-04-20	https://m.caixin.com/m/2026-04-20/102435988.html	credible_media	FY2025 geographic growth IFRS profit decline and management response
S06	Bloomberg: ByteDance to Buy Back $3 Billion in Shares as IPO Plans Stall	2022-09-16	https://www.bloomberg.com/news/articles/2022-09-16/bytedance-to-buy-back-3-billion-in-shares-as-ipo-plans-stall	credible_media	September 2022 investor buyback valuation
S07	Bloomberg: ByteDance Offering to Buy Back Employees' Shares for $155 Apiece	2022-10-12	https://www.bloomberg.com/news/articles/2022-10-12/bytedance-offering-to-buy-back-employees-shares-for-155-apiece	credible_media	October 2022 employee RSU buyback
S08	Reuters: TikTok owner ByteDance offers to buy back shares from staff at $160 apiece	2023-11-15	https://www.investing.com/news/stock-market-news/tiktok-owner-bytedance-offers-to-buy-back-shares-from-staff-at-160-apiece-3226338	credible_media	November 2023 employee repurchase
S09	Reuters: ByteDance offers investors share buyback valued at $268 billion	2023-12-06	https://www.investing.com/news/stock-market-news/bytedance-offers-investors-share-buyback-valued-at-268-billionsources-3250318	credible_media	December 2023 investor repurchase
S10	Reuters: TikTok parent ByteDance's valuation hits $300 billion sources say	2024-11-16	https://m.investing.com/news/economy-news/tiktok-parent-bytedances-valuation-hits-300-billion-amid-us-ban-uncertainty-wsj-reports-3726844	credible_media	November 2024 investor repurchase
S11	Reuters: TikTok parent ByteDance valuation rises in latest share buyback	2025-03-04	https://www.investing.com/news/stock-market-news/exclusivetiktok-parent-bytedance-valuation-rises-in-latest-share-buyback-sources-say-3907335	credible_media	March 2025 employee repurchase and retrospective employee prices
S12	IT之家 via Sina Technology: 字节跳动新一轮期权回购价格再创新高	2026-04-15	https://finance.sina.com.cn/tech/digi/2026-04-16/doc-inhuqskv8337570.shtml	industry_media	October 2025 and April 2026 employee prices
S13	Reuters: ByteDance valued at $550 billion in proposed share sale by General Atlantic	2026-02-25	https://www.investing.com/news/stock-market-news/exclusivebytedance-valued-at-550-billion-in-proposed-share-sale-by-general-atlantic-sources-say-4523409	credible_media	November 2025 secondary trade and proposed February 2026 sale
S14	TikTok Newsroom: Announcement from the new TikTok USDS Joint Venture LLC	2026-01-23	https://newsroom.tiktok.com/announcement-from-the-new-tiktok-usds-joint-venture-llc	official	TikTok US structure and ByteDance retained ownership
S15	ByteDance: Resources	2026-05-23	https://www.bytedance.com/en/resources	official	Brand asset availability check
