id	source_type	title	url	role
S01	primary filing	Meituan announcement of results for the three months ended March 31 2026	https://www.hkexnews.hk/listedco/listconews/sehk/2026/0601/2026060101346.pdf	Q1 financials new revenue presentation business review and liquidity
S02	primary company page	Meituan investor relations page	https://www.meituan.com/en-US/investor-relations	Release timing and official IR index
S03	primary filing	Meituan announcement of results for the year ended December 31 2025	https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0326/2026032600964.pdf	Q4 comparison FY2025 audited revision of quarterly information
S04	primary filing	Meituan announcement of results for the three months ended March 31 2025	https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0526/2025052600409.pdf	Original Q1 2025 disclosure and revision boundary
S05	primary company release	Meituan 2026 Q1 press release	https://www.meituan.com/news/NN260601238004976	AI Xiaoxiang Keeta drone and management update
S06	official statistics	NBS retail sales January to March 2026	https://www.stats.gov.cn/sj/zxfb/202604/t20260416_1963325.html	China consumption backdrop
S07	regulator	SAMR ghost-kitchen penalties	https://www.samr.gov.cn/xw/zj/art/2026/art_9714ee2bef9244819134ef4ffdd14017.html	Food-safety enforcement
S08	regulator	SAMR and CAC platform rules supervision measures	https://www.samr.gov.cn/zw/zfxxgk/fdzdgknr/fgs/art/2026/art_85b474fc5a08494bb60ca6a280b98d7d.html	Merchant pricing promotion and platform-rule constraints
S09	regulator	SAMR fair-competition action press conference	https://www.samr.gov.cn/hd/zxft/art/2026/art_0d194ab9d24d422daa0159f974a3570e.html	Anti-involution enforcement context
S10	regulator	SAMR online catering service food-safety responsibility rules	https://www.samr.gov.cn/cms_files/filemanager/1647978232/attach/20262/21e294feabdd4001884285115d735989.pdf	Merchant verification and platform responsibility rules
S11	primary company release	Meituan ten food-safety governance measures	https://www.meituan.com/news/NN260417173010929	Company response and operating changes
S12	primary filing	Meituan acquisition of Dingdong Fresh Holding Limited	https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0205/2026020501302.pdf	Grocery strategy acquisition terms and network
S13	primary company technical blog	Meituan LongCat-Next release	https://tech.meituan.com/2026/04/02/longcat-next.html	AI capability direction and technical evidence
S14	primary company release	Alibaba March quarter 2026 and fiscal year 2026 results	https://www.businesswire.com/news/home/20260512841182/en/Alibaba-Group-Announces-March-Quarter-2026-and-Fiscal-Year-2026-Results	Peer quick-commerce context
S15	primary company release	JD.com first quarter 2026 results	https://ir.jd.com/static-files/edd230c2-4179-422b-b128-774a5b02d894	Peer food-delivery context
S16	reputable wire	Reuters Meituan Q1 2026 report via MarketScreener	https://www.marketscreener.com/news/meituan-posts-another-quarterly-loss-though-food-delivery-wars-are-beginning-to-abate-ce7f5dd8d18df221	Market framing and management quote
S17	secondary market article	First Financial report via Sina Finance	https://finance.sina.com.cn/roll/2026-06-01/doc-inhzxewp2341444.shtml	June 1 pre-release closing price and market commentary
S18	secondary market summary	HSTong Meituan Q1 infographic	https://www.hstong.com/news/detail/26060113471433634	Public consensus adjusted-loss reference
S19	regulator	SAMR five-department meeting with food-delivery platforms	https://www.samr.gov.cn/xw/zj/art/2025/art_9d68293c1568446a9ad3f9ef09fb4dc0.html	Competition regulation timeline
S20	official statistics	NBS consumption commentary January to April 2026	https://www.stats.gov.cn/zwfwck/sjfb/202605/t20260518_1963734.html	Instant retail transaction growth and service consumption context
S21	regulator	Anti-monopoly committee office investigation and evaluation of food-delivery platform competition	https://www.samr.gov.cn/xw/zj/art/2026/art_8bbfdfed30f845eb80407bd0fb047822.html	Competition regulation timeline
S22	secondary earnings-call report	CLS Meituan Q1 earnings-call report via Sina Finance	https://finance.sina.com.cn/jjxw/2026-06-01/doc-inhzxmem2275158.shtml	Management commentary on unit economics in-store services Keeta and AI
S23	reputable wire	Reuters iFood lawsuit against Keeta via MarketScreener	https://www.marketscreener.com/news/brazil-s-ifood-sues-meituan-backed-keeta-over-alleged-espionage-ce7f5ad9db8ff32c	Overseas legal and execution risk
S24	primary filing	Meituan FY2025 profit warning	https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0213/2026021301493.pdf	Competition spending context and company liquidity statement
