id	evidence_level	source_type	publisher	title	published_or_as_of	url	claims_supported	notes
M01	B	market_data	Yahoo Finance	Tencent trailingMarketCap timeseries	2026-06-10	https://query2.finance.yahoo.com/ws/fundamentals-timeseries/v1/finance/timeseries/0700.HK?symbol=0700.HK&type=trailingMarketCap&period1=1780876800&period2=1781222400	Tencent historical market capitalization	HKD 4,199.6248bn
M02	B	market_data	Yahoo Finance	USD/HKD historical chart	2026-06-10	https://query1.finance.yahoo.com/v8/finance/chart/HKD=X?period1=1780876800&period2=1781222400&interval=1d	USD/HKD closing rate of 7.8373 used for HKD conversions	Secondary market-data endpoint
M03	B	market_data	Yahoo Finance	Alibaba trailingMarketCap timeseries	2026-06-10	https://query2.finance.yahoo.com/ws/fundamentals-timeseries/v1/finance/timeseries/BABA?symbol=BABA&type=trailingMarketCap&period1=1780876800&period2=1781222400	Alibaba historical market capitalization	USD 278.1214bn
M04	B	market_data	Yahoo Finance	PDD trailingMarketCap timeseries	2026-06-10	https://query2.finance.yahoo.com/ws/fundamentals-timeseries/v1/finance/timeseries/PDD?symbol=PDD&type=trailingMarketCap&period1=1780876800&period2=1781222400	PDD historical market capitalization	USD 116.4623bn
M05	B	market_data	Yahoo Finance	Xiaomi trailingMarketCap timeseries	2026-06-10	https://query2.finance.yahoo.com/ws/fundamentals-timeseries/v1/finance/timeseries/1810.HK?symbol=1810.HK&type=trailingMarketCap&period1=1780876800&period2=1781222400	Xiaomi historical market capitalization	HKD 678.5747bn
M06	B	market_data	Yahoo Finance	NetEase trailingMarketCap timeseries	2026-06-10	https://query2.finance.yahoo.com/ws/fundamentals-timeseries/v1/finance/timeseries/NTES?symbol=NTES&type=trailingMarketCap&period1=1780876800&period2=1781222400	NetEase historical market capitalization	USD 79.5107bn
M07	B	market_data	Yahoo Finance	Meituan trailingMarketCap timeseries	2026-06-10	https://query2.finance.yahoo.com/ws/fundamentals-timeseries/v1/finance/timeseries/3690.HK?symbol=3690.HK&type=trailingMarketCap&period1=1780876800&period2=1781222400	Meituan historical market capitalization	HKD 487.7763bn
M08	B	market_data	Yahoo Finance	Baidu trailingMarketCap timeseries	2026-06-10	https://query2.finance.yahoo.com/ws/fundamentals-timeseries/v1/finance/timeseries/BIDU?symbol=BIDU&type=trailingMarketCap&period1=1780876800&period2=1781222400	Baidu historical market capitalization	USD 40.5561bn
M09	B	market_data	Yahoo Finance	JD.com trailingMarketCap timeseries	2026-06-10	https://query2.finance.yahoo.com/ws/fundamentals-timeseries/v1/finance/timeseries/JD?symbol=JD&type=trailingMarketCap&period1=1780876800&period2=1781222400	JD.com historical market capitalization	USD 39.1301bn
M10	B	market_data	Yahoo Finance	Trip.com trailingMarketCap timeseries	2026-06-10	https://query2.finance.yahoo.com/ws/fundamentals-timeseries/v1/finance/timeseries/TCOM?symbol=TCOM&type=trailingMarketCap&period1=1780876800&period2=1781222400	Trip.com historical market capitalization	USD 30.3412bn
