rank,code,display_name,role,execution_score,note,fund_name,company,purchase_status,daily_purchase_limit_rmb,aum_billion_rmb,aum_date,operation_fee_pct,management_fee_pct,custody_fee_pct,service_fee_pct,buy_fee_discount_pct,one_year_return_pct,three_year_return_pct,inception_date
"1","016452","南方纳斯达克100指数发起 A","首选执行","91","费率低、总规模最大的一组低费率直投型份额，当前限额 50 元。","南方纳斯达克100指数发起","南方基金","限大额","50","31.11","2026-03-31","0.65","0.5","0.15","0","0.12","27.06","75.64","2022-11-29"
"2","019172","摩根纳斯达克100指数 A","低费率强候选","88","运作费率 0.60% 为样本最低档之一，规模过 20 亿元，但当前限额 10 元。","摩根纳斯达克100指数","摩根基金(中国)","限大额","10","21.78","2026-03-31","0.6","0.5","0.1","0","0.12","27.44","","2023-09-25"
"3","018966","汇添富纳斯达克100ETF联接 A","额度友好","86","低费率且当前限额 100 元，短板是近一年跟踪表现略落后。","汇添富纳斯达克100ETF发起式联接","汇添富基金","限大额","100","10.35","2026-03-31","0.65","0.5","0.15","0","0.12","25.61","","2023-08-02"
"4","040046","华安纳斯达克100ETF联接 A","老牌稳定","85","成立时间长、规模足、近一年收益靠前，成本高于低费率新品。","华安纳斯达克100ETF联接","华安基金","限大额","10","47.03","2026-03-31","0.8","0.6","0.2","0","0.12","28.52","78.7","2013-08-02"
"5","019547","招商纳斯达克100ETF联接 A","低费率观察","82","低费率、规模已到可用区间，但历史样本仍短且限额 10 元。","招商纳斯达克100ETF发起式联接","招商基金","限大额","10","16.52","2026-03-31","0.65","0.5","0.15","0","0.12","26.93","","2023-11-29"
"6","539001","建信纳斯达克100指数 A","老牌可买","80","成立时间最早之一，当前限额 100 元，成本偏高。","建信纳斯达克100指数","建信基金","限大额","100","16.24","2026-03-31","1","0.8","0.2","0","0.12","26.29","83.77","2010-09-14"
"7","270042","广发纳斯达克100ETF联接 A","最大规模备选","79","规模和历史最好看，但 1.00% 运作费率与 10 元限额拖累推荐顺位。","广发纳斯达克100ETF联接人民币","广发基金","限大额","10","97.16","2026-03-31","1","0.8","0.2","0","0.13","27.84","81.53","2012-08-15"
"8","019524","华泰柏瑞纳斯达克100ETF联接 A","低费率备选","77","低费率，规模和历史长度弱于前列。","华泰柏瑞纳斯达克100ETF发起式联接","华泰柏瑞基金","限大额","10","7.02","2026-03-31","0.65","0.5","0.15","0","0.12","26.59","","2023-10-19"
"9","019441","万家纳斯达克100指数 A","小规模低费率","76","低费率且限额 50 元，但规模较小。","万家纳斯达克100指数发起式","万家基金","限大额","50","4.38","2026-03-31","0.65","0.5","0.15","0","0.1","26.42","","2023-09-27"
"10","019736","宝盈纳斯达克100指数 A","小规模低费率","74","低费率，但规模与限额不占优。","宝盈纳斯达克100指数发起","宝盈基金","限大额","10","5.68","2026-03-31","0.65","0.5","0.15","0","0.12","26.62","","2024-03-22"
"11","000834","大成纳斯达克100ETF联接 A","传统备选","72","规模和年限不错，成本偏高且限额 10 元。","大成纳斯达克100ETF联接","大成基金","限大额","10","34.53","2026-03-31","1","0.8","0.2","0","0.12","27.49","76.76","2014-11-13"
