id	tier	paper	year	venue_status	org	task	core_method	reported_gain	evidence_level	workability	risk
P01	S	Pailitao-VL: Unified Embedding and Reranker for Real-Time Multi-Modal Industrial Search	2026	arXiv technical report	Alibaba	Pailitao 图搜 embedding 和 rerank	MLLM2Vec 加超大规模 ID classification；additive angular margin；compare-and-calibrate listwise reranker	Embedding 平均 73.73 vs TBStars 69.55；线上 GMV +2%/+6%/+20%；67ms embedding 和 76ms reranker	作者论文和线上 A/B 报告	强，适合有商品 ID 簇、图搜 GMV 闭环和高质量治理能力的平台	原型簇污染会固化噪声；线上分桶和长期影响未公开
P02	S	TIGER-FG: Text-Guided Implicit Fine-Grained Grounding for E-commerce Retrieval	2026	arXiv	Kuaishou	Image-to-multimodal retrieval	文本引导 item 表征；region-text 对齐；target-anchor；SDD/SRD 蒸馏；Mosaic clutter 训练	Recall@1 对最强基线 +6.1pp normal 和 +34.4pp mosaic；85.7M query 参数	作者论文，离线 benchmark	强，适合截图裁剪图搜、商详图含背景和多主体干扰的召回通道	需要区域框或高质量目标区域训练信号；线上 A/B 未公开
P03	S	Text-Guided Visual Representation Learning for Robust Multimodal E-Commerce Recommendation	2026	arXiv; KDD 2026 accepted	JD; Tsinghua	I2I 商品召回和推荐	TGQ-Former：metadata-anchored queries + exploratory queries + 双门控 + redundancy reduction	H@100 65.19 到 69.13，相对 +6.04%；35.43 GFLOPs 优于 2B 到 4B MLLM	作者论文，离线 full-pool	强，适合商品相似、看了又看、召回预计算 item embedding	主要是 I2I 而非 query image to item；线上效果未公开
P04	S	UniECS: Towards Unified Multimodal E-Commerce Search	2025	CIKM 2025	Kuaishou	文本、图像、图文组合统一检索	Gated fusion；cross-modal / cross-level / intra-modal contrastive losses；M-BEER benchmark	M-BEER text-to-image R@10 0.85 vs GME 0.57；线上 SCR +27.31%、CTR +2.74%、CVR +4.67%、order +6.12%、revenue +8.33%	作者论文和线上 A/B 报告	强，适合希望统一多入口搜索和同款相似召回的平台	统一模型要防止某一入口牺牲；需做分入口和分品类 guardrail
P05	S	Beyond Text: Text-Image Fusion for Scalable Two-Tower Retrieval	2026	arXiv v2; 2026-07-06	Target	文本 query 到图文商品双塔召回	Item-tower 图文 MoE+Bilinear 融合；domain FT；query-to-text/image alignment；CPU ANN	nDCG@1 desirability +4.86%；relevance +2.36%；约 2000 QPS CPU serving	作者论文，离线和部署描述	强，适合现有 text-only ANN 想低风险加视觉信号	当前是文本 query 为主；在线业务指标未公开
P06	A	OneRetrieval: Unifying Multi-Branch E-commerce Retrieval with an Editable Generative Model	2026	arXiv	Kuaishou	多路召回统一和可编辑生成式召回	KAE attribute-word identifiers；reserved slots；four-stage fine-tuning	替换倒排 order +0.710%；近全替换 CTR +0.821%；服务数亿 PV/day	作者论文和线上 A/B 报告	中强，适合多路召回治理和运营强干预系统	不是纯图搜；生成式召回覆盖、热品偏置和人工编辑一致性需长期验证
P07	A	Efficient Generative Retrieval for E-commerce Search with Semantic Cluster IDs and Expert-Guided RL	2026	arXiv	TmallAPP	生成式召回补充通道	CQ-SID；category-aware RQ-VAE；query-item contrastive；EG-GRPO	GMV +1.15%；UCTCVR +0.40%；8 GPUs 约 200 QPS；平均 40ms	作者论文和线上 A/B 报告	中强，适合作为召回补充而非一步替换全量 ANN	多目标 reward 稳定性、beam size、GPU 成本需要线上控制
P08	A	Unified Learning-to-Rank for Multi-Channel Retrieval in Large-Scale E-Commerce Search	2026	arXiv	Target	多召回通道候选融合	把 channel merge 改成 query-dependent LTR；engagement features；conversion-weighted label	Conversion +2.85%；p95 latency 低于 50ms；Target.com 部署	作者论文和线上 A/B 报告	强，适合电商召回阶段的候选融合层	不是视觉模型；依赖稳定的 channel features 和周级 query-item 统计
P09	A	AFMRL: Attribute-Enhanced Fine-Grained Multi-Modal Representation Learning in E-commerce	2026	ACL Findings 2026	Alibaba	细粒度同款和跨模态检索	MLLM attribute generation；AGCL hard-negative filtering；RAR with Recall@k reward；GRPO	Recall@1 48.05 到 54.28；SFT+RL+CIT accuracy 89.13	正式会议论文，离线实验	中强，适合已有属性体系且要提升细粒度可解释性的场景	属性生成质量和 RL reward 会影响稳定性；线上信号未公开
P10	A	MOON Embedding: Multimodal Representation Learning for E-commerce Search Advertising	2025	arXiv technical report	Alibaba / Alimama	搜索广告多模态表征和召回中间指标	Pretraining, post-training, application 三阶段；exchange rate 选择 image-based search recall	全链路部署；线上 CTR +20.00%；image search Recall@1 95.1%	作者技术报告和线上 A/B 报告	强，适合广告/推荐链路把图搜召回作为中间指标	指标定义和广告链路偏向会影响迁移到自然图搜
