rank,company_cn,company_en,status,ticker,exchange,sector,value_usd_bn,value_display,value_kind,evidence_level,evidence_date,source_ids,notes
1,字节跳动,ByteDance,private,,,短视频与内容平台,600.00,">600.0",拟议老股交易估值下限,B,2026-04-08,"B01;B02","创始股东拟议出售尚未完成；公司员工回购锚高于3300亿美元"
2,腾讯控股,Tencent,listed,0700,HKEX,社交与数字内容,535.85,535.9,收盘市值,A+B,2026-06-10,"M01;M02;H01","港元市值按当日USD/HKD收盘汇率换算"
3,阿里巴巴,Alibaba,listed,BABA,Nasdaq,电商与云计算,278.12,278.1,收盘市值,A+B,2026-06-10,"M03;N01","采用美股ADS对应整体权益市值"
4,拼多多,PDD Holdings,listed,PDD,Nasdaq,电商,116.46,116.5,收盘市值,A+B,2026-06-10,"M04;N02","采用美股ADS对应整体权益市值"
5,小米集团,Xiaomi,listed,1810,HKEX,硬件与互联网服务,86.58,86.6,收盘市值,A+B,2026-06-10,"M05;M02;H02","混合业务公司；港元市值按当日汇率换算"
6,网易,NetEase,listed,NTES,Nasdaq,游戏与数字内容,79.51,79.5,收盘市值,A+B,2026-06-10,"M06;N03","采用美股ADS对应整体权益市值"
7,美团,Meituan,listed,3690,HKEX,本地生活与即时零售,62.24,62.2,收盘市值,A+B,2026-06-10,"M07;M02;H03","港元市值按当日USD/HKD收盘汇率换算"
8,小红书,Xiaohongshu,private,,,生活方式社区,50.00,50.0,报道的老股交易估值,C,2026-02-04,"X03;X01;X02","交易发生于2025年末；310亿美元GSR基金文件隐含值为更可复核的基准"
9,百度,Baidu,listed,BIDU,Nasdaq,搜索与人工智能,40.56,40.6,收盘市值,A+B,2026-06-10,"M08;N04","采用美股ADS对应整体权益市值"
10,京东集团,JD.com,listed,JD,Nasdaq,电商,39.13,39.1,收盘市值,A+B,2026-06-10,"M09;N05","采用美股ADS对应整体权益市值"
11,携程集团,Trip.com Group,listed,TCOM,Nasdaq,在线旅行,30.34,30.3,收盘市值,A+B,2026-06-10,"M10;N06","采用美股ADS对应整体权益市值"
12,快手科技,Kuaishou,listed,1024,HKEX,短视频与内容平台,25.41,25.4,收盘市值,A+B,2026-06-10,"M11;M02;H04","港元市值按当日USD/HKD收盘汇率换算"
13,贝壳,KE Holdings,listed,BEKE,NYSE,在线房产平台,17.68,17.7,收盘市值,A+B,2026-06-10,"M12;N07","采用美股ADS对应整体权益市值"
14,腾讯音乐,Tencent Music,listed,TME,NYSE,在线音乐,14.78,14.8,收盘市值,A+B,2026-06-10,"M13;N08","采用美股ADS对应整体权益市值"
15,阅文集团,China Literature,listed,0772,HKEX,在线文学,14.10,14.1,收盘市值,A+B,2026-06-10,"M14;M02;H05","港元市值按当日USD/HKD收盘汇率换算"
