rank,company_cn,company_en,ticker,exchange,sector,value_usd_bn,value_display,value_kind,evidence_level,evidence_date,source_ids,notes
1,Alphabet,Alphabet,GOOG,Nasdaq,搜索广告与云平台,4329.21,"4,329.2",收盘市值,A+B,2026-06-10,"M01;X01;F01","采用Class C代码索引整体公司市值；不与GOOGL重复相加"
2,亚马逊,Amazon,AMZN,Nasdaq,电商与云计算,2560.19,"2,560.2",收盘市值,A+B,2026-06-10,"M02;X02;F02","混合业务公司；在线市场与AWS均为核心"
3,Meta Platforms,Meta Platforms,META,Nasdaq,社交与数字广告,1449.39,"1,449.4",收盘市值,A+B,2026-06-10,"M03;X03","整体权益市值"
4,奈飞,Netflix,NFLX,Nasdaq,流媒体,345.29,345.3,收盘市值,A+B,2026-06-10,"M04;X04","整体权益市值"
5,AppLovin,AppLovin,APP,Nasdaq,广告技术平台,165.61,165.6,收盘市值,A+B,2026-06-10,"M05;X05;F03","以广告技术平台为当前核心业务"
6,优步,Uber,UBER,NYSE,出行与本地服务平台,139.66,139.7,收盘市值,A+B,2026-06-10,"M06;X06","整体权益市值"
7,Booking Holdings,Booking Holdings,BKNG,Nasdaq,在线旅行,124.48,124.5,收盘市值,A+B,2026-06-10,"M07;X07","整体权益市值"
8,Cloudflare,Cloudflare,NET,NYSE,互联网基础设施,77.97,78.0,收盘市值,A+B,2026-06-10,"M08;X08;F04","网络、安全与开发者平台"
9,爱彼迎,Airbnb,ABNB,Nasdaq,住宿市场平台,76.62,76.6,收盘市值,A+B,2026-06-10,"M09;X09","整体权益市值"
10,DoorDash,DoorDash,DASH,Nasdaq,本地商业平台,65.79,65.8,收盘市值,A+B,2026-06-10,"M10;X10","整体权益市值"
11,eBay,eBay,EBAY,Nasdaq,在线市场,47.25,47.2,收盘市值,A+B,2026-06-10,"M11;X11","整体权益市值"
12,Reddit,Reddit,RDDT,NYSE,社区与数字广告,33.15,33.2,收盘市值,A+B,2026-06-10,"M12;X12","整体权益市值"
13,Roblox,Roblox,RBLX,NYSE,在线娱乐与创作平台,29.71,29.7,收盘市值,A+B,2026-06-10,"M13;X13","整体权益市值"
14,Expedia Group,Expedia Group,EXPE,Nasdaq,在线旅行,26.28,26.3,收盘市值,A+B,2026-06-10,"M14;X14","整体权益市值"
15,Verisign,Verisign,VRSN,Nasdaq,域名基础设施,26.22,26.2,收盘市值,A+B,2026-06-10,"M15;X15;F05","域名注册局与互联网基础设施"
