metric,2025-Q1-recast,2025-Q4,2026-Q1,unit,source_note
Revenue,86.206145,92.096429,91.038906,RMB bn,S01
Cost of revenues,54.143437,67.969156,65.068834,RMB bn,S01
Gross profit,32.062708,24.127273,25.970072,RMB bn,S01
Gross margin,37.2,26.2,28.5,percent,calculated from S01
Selling and marketing expenses,15.199035,31.725691,22.968519,RMB bn,S01
Selling and marketing expense ratio,17.6,34.4,25.2,percent,S01
Research and development expenses,5.772030,7.029303,7.043098,RMB bn,S01
Research and development expense ratio,6.7,7.6,7.7,percent,S01
General and administrative expenses,2.627017,3.652661,2.938393,RMB bn,S01
Operating profit or loss,10.566110,-16.074247,-6.469811,RMB bn,S01
Operating margin,12.3,-17.5,-7.1,percent,S01
Profit or loss for the period,10.056880,-15.144282,-6.827258,RMB bn,S01
Adjusted EBITDA,12.301686,-14.024955,-3.049429,RMB bn,S01
Adjusted net profit or loss,10.948504,-15.079906,-4.967986,RMB bn,S01
Net cash flows from operating activities,10.131128,,-7.014359,RMB bn,S01 S03
